step,epoch,train_loss,train_acc,timestamp,timestamp_fmt,duration,duration_fmt,dur_total_core,dur_train_core,dur_dl_train,val_loss,val_acc
109,109,0.23510707049142746,0.9107142857142857,1749097210.2657368,2025/06/05 13:20:10,71.98594784736633,1.2m,7.145608425140381,6.1515953540802,7.3091654777526855,,
110,110,0.4607818058558873,0.8761904761904762,1749097211.0383294,2025/06/05 13:20:11,72.758540391922,1.2m,7.227703094482422,6.220299243927002,7.3631908893585205,0.6937773704528809,0.8416666666666667
111,111,0.39047950903574624,0.8976190476190476,1749097211.6104147,2025/06/05 13:20:11,73.3306257724762,1.2m,7.268038511276245,6.26066255569458,7.427738666534424,,
112,112,0.3593473130748385,0.8869047619047619,1749097212.2537143,2025/06/05 13:20:12,73.97392535209656,1.2m,7.338270902633667,6.303332328796387,7.48817253112793,0.6226615024937524,0.8666666666666667
113,113,0.2730940110626675,0.9119047619047619,1749097213.021374,2025/06/05 13:20:13,74.74158501625061,1.2m,7.401499509811401,6.366593360900879,7.550382614135742,,
114,114,0.2613315463066101,0.9226190476190477,1749097213.5450892,2025/06/05 13:20:13,75.26530027389526,1.3m,7.4549291133880615,6.406888961791992,7.6052329540252686,0.6509278363651699,0.8527777777777777
115,115,0.2670104253859747,0.9238095238095239,1749097214.2264574,2025/06/05 13:20:14,75.94666838645935,1.3m,7.509662866592407,6.461652994155884,7.668419361114502,,
116,116,0.341624599411374,0.8928571428571429,1749097215.1611733,2025/06/05 13:20:15,76.88138437271118,1.3m,7.612568616867065,6.54377818107605,7.779672384262085,0.6032473219765557,0.875
117,117,0.22206584215164185,0.9214285714285714,1749097215.747289,2025/06/05 13:20:15,77.46749997138977,1.3m,7.654294490814209,6.585533857345581,7.840604305267334,,
118,118,0.2540720786367144,0.919047619047619,1749097216.2907722,2025/06/05 13:20:16,78.01098322868347,1.3m,7.710508346557617,6.6276774406433105,7.8943095207214355,0.6869840674930149,0.8583333333333333
119,119,0.28836330964806534,0.9107142857142857,1749097217.167049,2025/06/05 13:20:17,78.88725996017456,1.3m,7.790715456008911,6.707918882369995,7.946558237075806,,
120,120,0.28145661896892954,0.9047619047619048,1749097217.8282142,2025/06/05 13:20:17,79.54842519760132,1.3m,7.861135959625244,6.764808177947998,8.000346183776855,0.5458932783868577,0.8666666666666667
121,121,0.2053460580962045,0.925,1749097218.4228916,2025/06/05 13:20:18,80.14310264587402,1.3m,7.904962778091431,6.808664560317993,8.06006121635437,,
122,122,0.34514184792836505,0.9107142857142857,1749097219.0627513,2025/06/05 13:20:19,80.78296232223511,1.3m,7.973995208740234,6.858390808105469,8.11220097541809,0.7933773914972941,0.7944444444444444
123,123,0.24277176417055585,0.9154761904761904,1749097219.8579009,2025/06/05 13:20:19,81.57811188697815,1.4m,8.034252166748047,6.918682098388672,8.16881012916565,,
124,124,0.2820596703106449,0.9083333333333333,1749097220.4206743,2025/06/05 13:20:20,82.14088535308838,1.4m,8.09504747390747,6.965295791625977,8.220929861068726,0.5373501194847955,0.8777777777777778
125,125,0.22182558122135343,0.9238095238095239,1749097221.2195582,2025/06/05 13:20:21,82.93976926803589,1.4m,8.172924757003784,7.043217658996582,8.275615930557251,,
