acceptedNameUsageID,Scientific name,Item,Top,Bottom,midPoint
126607,Lampadena chavesi,Depth,600,800,Day
126607,Lampadena chavesi,max size,,,8
126612,Lampanyctus crocodilus,Lat,16,72,
126612,Lampanyctus crocodilus,lon,-82,36,
126612,Lampanyctus crocodilus,Depth,0,1200,
126612,Lampanyctus crocodilus,Depth,700,800,Day
126612,Lampanyctus crocodilus,Depth,45,150,Night
126612,Lampanyctus crocodilus,max size,,,14.8
126612,Lampanyctus crocodilus,max size,,,30
126612,Lampanyctus crocodilus,common size,,,8
126614,Lampanyctus festivus,Lat,-56,50,
126614,Lampanyctus festivus,lon,-180,180,
126614,Lampanyctus festivus,Depth,40,1052,
126614,Lampanyctus festivus,max size,,,13.8
126616,Lampanyctus lineatus,Lat,-27,42,
126616,Lampanyctus lineatus,lon,-180,-153,
126616,Lampanyctus lineatus,lon,-82,180,
126616,Nannobrachium lineatum,Depth,60,225,Night
126616,Nannobrachium lineatum,Depth,650,1000,Day
126616,Lampanyctus lineatus,max size,,,23.7
126625,Loweina rara,Lat,-30,46,
126625,Loweina rara,Depth,0,175,Night
126625,Loweina rara,Depth,550,1050,Day
126625,Loweina rara,max size,,,4.5
126626,Myctophum nitidulum,Lat,-34,42,
126626,Myctophum nitidulum,lon,-180,-117,
126626,Myctophum nitidulum,lon,112,180,
126626,Myctophum nitidulum,Depth,0,5,Night
126626,Myctophum nitidulum,Depth,475,850,Day
126626,Myctophum nitidulum,max size,,,8.3
126627,Myctophum punctatum,Lat,15,69,
126627,Myctophum punctatum,lon,-67,36,
126627,Myctophum punctatum,Depth,225,750,Day
126627,Myctophum punctatum,Depth,0,125,Night
126627,Myctophum punctatum,max size,,,11
126629,Notolychnus valdiviae,Lat,-40,56,
126629,Notolychnus valdiviae,lon,-180,180,
126629,Notolychnus valdiviae,Depth,25,350,Night
126629,Notolychnus valdiviae,Depth,375,700,Day
126629,Notolychnus valdiviae,max size,,,6.3
126632,Taaningichthys minimus,Lat,-30,-18,
126632,Taaningichthys minimus,Lat,14,40,
126632,Taaningichthys minimus,lon,-180,21,
126632,Taaningichthys minimus,lon,131,180,
