acceptedNameUsageID,Scientific name,Item,Description,Code
105822,Mustelus mustelus,food,cephalopods,2
105822,Mustelus mustelus,food,crustaceans,2
105822,Mustelus mustelus,food,bony fish,3
105832,Heptranchias perlo,Temperature,temperate,2
105832,Heptranchias perlo,Temperature,tropical,3
105832,Heptranchias perlo,Temperature,subtropical,2.6
105832,Heptranchias perlo,Habitat,deep benthic,3
105832,Heptranchias perlo,Habitat,oceanic,3
105832,Heptranchias perlo,Habitat,coastal,2
105832,Heptranchias perlo,Habitat,island,2.5
105832,Heptranchias perlo,Habitat,continental slope,2.5
105832,Heptranchias perlo,Habitat,continental shelf,2
105832,Heptranchias perlo,Salinity,marine,2
105832,Heptranchias perlo,Behavior,bathydemersal,1.2
105832,Heptranchias perlo,Behavior,benthopelagic,2
105832,Heptranchias perlo,food,cephalopods,2
105832,Heptranchias perlo,food,crustaceans,2
105832,Heptranchias perlo,food,fish,3
105832,Heptranchias perlo,food,sharks and rays,3.6
105833,Hexanchus griseus,Temperature,temperate,2.6
105833,Hexanchus griseus,Temperature,subtropical,2.6
105833,Hexanchus griseus,Temperature,tropical,3
105833,Hexanchus griseus,Temperature,boreal,1.3
105833,Hexanchus griseus,Habitat,deep benthic,3
105833,Hexanchus griseus,Habitat,underwater rise,3
105833,Hexanchus griseus,Habitat,seamount,3
105833,Hexanchus griseus,Habitat,inshore,1.3
105833,Hexanchus griseus,Habitat,island,2.5
105833,Hexanchus griseus,Habitat,continental slope,2.5
105833,Hexanchus griseus,Habitat,continental shelf,2
105833,Hexanchus griseus,Salinity,marine,2
105833,Hexanchus griseus,Behavior,demersal,1
105833,Hexanchus griseus,Behavior,bathydemersal,1.2
105833,Hexanchus griseus,Behavior,pelagic,3
105833,Hexanchus griseus,food,cephalopods,2
105833,Hexanchus griseus,food,crustaceans,2
105833,Hexanchus griseus,food,fish,3
105833,Hexanchus griseus,food,sharks and rays,3.6
105835,Alopias superciliosus,Temperature,tropical,3
105835,Alopias superciliosus,Temperature,subtropical,2.6
105835,Alopias superciliosus,Temperature,temperate,2
105835,Alopias superciliosus,Habitat,continental shelf,2
105835,Alopias superciliosus,Habitat,oceanic,3
105835,Alopias superciliosus,Habitat,coastal,2
105835,Alopias superciliosus,Habitat,inshore,1.3
105835,Alopias superciliosus,Salinity,marine,2
105835,Alopias superciliosus,Behavior,mesopelagic,3
105835,Alopias superciliosus,Behavior,epipelagic,3.2
105835,Alopias superciliosus,food,cephalopods,2
105835,Alopias superciliosus,food,fish,3
105836,Alopias vulpinus,Temperature,temperate,2
105836,Alopias vulpinus,Temperature,subtropical,2.6
105836,Alopias vulpinus,Temperature,tropical,3
105836,Alopias vulpinus,Habitat,coastal,2
105836,Alopias vulpinus,Habitat,inshore,1.3
105836,Alopias vulpinus,Habitat,island,2.5
105836,Alopias vulpinus,Habitat,continental shelf,2
105836,Alopias vulpinus,Habitat,oceanic,3
105836,Alopias vulpinus,Salinity,marine,2
105836,Alopias vulpinus,Behavior,epipelagic,3.2
105836,Alopias vulpinus,Food,cephalopods,2
105836,Alopias vulpinus,Food,crustaceans,2
105836,Alopias vulpinus,Food,fish,3
105836,Alopias vulpinus,Food,seabirds,5
105837,Cetorhinus maximus,Temperature,temperate,2
105837,Cetorhinus maximus,Temperature,tropical,3
105837,Cetorhinus maximus,Temperature,boreal,1.3
105837,Cetorhinus maximus,Habitat,coastal,2
105837,Cetorhinus maximus,Habitat,inshore,1.3
105837,Cetorhinus maximus,Habitat,offshore,2.5
105837,Cetorhinus maximus,Habitat,island,2.5
105837,Cetorhinus maximus,Habitat,continental shelf,2
105837,Cetorhinus maximus,Habitat,oceanic,3
105837,Cetorhinus maximus,Salinity,marine,2
105837,Cetorhinus maximus,Behavior,mesopelagic,3
105837,Cetorhinus maximus,Behavior,pelagic,3
105837,Cetorhinus maximus,Behavior,epipelagic,3.2
105837,Cetorhinus maximus,food,zooplankton,1.8
105837,Cetorhinus maximus,Aggregation,solitary,1
105837,Cetorhinus maximus,Aggregation,pair,2
105837,Cetorhinus maximus,Aggregation,group,3
105837,Cetorhinus maximus,Aggregation,school,4
105838,Carcharodon carcharias,Temperature,temperate,2
105838,Carcharodon carcharias,Temperature,tropical,3
105838,Carcharodon carcharias,Temperature,subtropical,2.6
105838,Carcharodon carcharias,Habitat,offshore,2.5
105838,Carcharodon carcharias,Habitat,open water,3
105838,Carcharodon carcharias,Habitat,estuaries,1
105838,Carcharodon carcharias,Habitat,island,2.5
105838,Carcharodon carcharias,Habitat,continental shelf,2
105838,Carcharodon carcharias,Habitat,coastal,2
105838,Carcharodon carcharias,Habitat,inshore,1.3
105838,Carcharodon carcharias,Habitat,oceanic,3
105838,Carcharodon carcharias,Salinity,brackish,1
105838,Carcharodon carcharias,Salinity,marine,2
105838,Carcharodon carcharias,Behavior,pelagic,3
105838,Carcharodon carcharias,food,cephalopods,2
105838,Carcharodon carcharias,food,fish,3
105838,Carcharodon carcharias,food,sharks and rays,3.6
105838,Carcharodon carcharias,food,marine mammals,4
105838,Carcharodon carcharias,food,seabirds,5
105838,Carcharodon carcharias,Aggregation,solitary,1
105838,Carcharodon carcharias,Aggregation,pair,2
105838,Carcharodon carcharias,Aggregation,group,3
105839,Isurus oxyrinchus,Temperature,temperate,2
105839,Isurus oxyrinchus,Temperature,subtropical,2.6
105839,Isurus oxyrinchus,Temperature,tropical,3
105839,Isurus oxyrinchus,Habitat,coastal,2
105839,Isurus oxyrinchus,Habitat,inshore,1.3
105839,Isurus oxyrinchus,Habitat,oceanic,3
105839,Isurus oxyrinchus,Salinity,marine,2
105839,Isurus oxyrinchus,Behavior,mesopelagic,3
105839,Isurus oxyrinchus,Behavior,epipelagic,3.2
105839,Isurus oxyrinchus,food,cephalopods,2
105839,Isurus oxyrinchus,food,fish,3
105839,Isurus oxyrinchus,food,sharks and rays,3.6
