step,epoch,train_loss,train_acc,train_path_loss,train_path_acc,timestamp,timestamp_fmt,duration,duration_fmt,dur_total_core,dur_train_core,dur_dl_train,val_loss,val_acc,val_path_loss,val_path_acc
107,107,3.5296047649383544,0.2134,mean: 7.317667968684436,mean: 0.017640624999999997,1749068318.5378902,2025/06/05 05:18:38,1820.2802431583405,30.3m,833.1112706661224,608.6541085243225,7.190250873565674,,,,
108,108,3.5075749961853027,0.215,mean: 7.302674398398402,mean: 0.01759375,1749068339.8742826,2025/06/05 05:18:59,1841.6166355609894,30.7m,842.9174635410309,614.3849849700928,7.252694845199585,3.610348054122925,0.1692,mean: 8.525315903949739,mean: 0.017128124999999998
109,109,3.501996504974365,0.2168,mean: 7.329852299302814,mean: 0.01771875,1749068352.368737,2025/06/05 05:19:12,1854.1110899448395,30.9m,848.5331444740295,620.0008347034454,7.3201210498809814,,,,
110,110,3.495150720214844,0.2186,mean: 7.386981520748138,mean: 0.01765625,1749068373.875561,2025/06/05 05:19:33,1875.6179139614105,31.3m,858.3945050239563,625.5522353649139,7.383253335952759,3.761147578430176,0.1516,mean: 9.936002495610714,mean: 0.0166765625
111,111,3.489241343307495,0.221,mean: 7.386814179593324,mean: 0.01744374999999999,1749068386.40935,2025/06/05 05:19:46,1888.1517028808594,31.5m,864.0840413570404,631.2419505119324,7.445144414901733,,,,
112,112,3.490070859527588,0.221,mean: 7.410674126374723,mean: 0.017518749999999996,1749068407.4548109,2025/06/05 05:20:07,1909.1971638202667,31.8m,873.7598688602448,636.7977154254913,7.5626914501190186,3.7316164966583254,0.157,mean: 8.984874625277522,mean: 0.0172171875
113,113,3.4913285514831545,0.219,mean: 7.5113881984591515,mean: 0.017606249999999997,1749068419.8298512,2025/06/05 05:20:19,1921.5722041130066,32.0m,879.323319196701,642.3612878322601,7.627753019332886,,,,
114,114,3.4775978881835936,0.2264,mean: 7.471289212167263,mean: 0.017509374999999994,1749068441.466026,2025/06/05 05:20:41,1943.2083790302277,32.4m,889.4560670852661,648.1946094036102,7.692429780960083,3.6104693660736085,0.1685,mean: 8.146126510190966,mean: 0.0168953125
115,115,3.456474393081665,0.2282,mean: 7.443003604918719,mean: 0.017434375,1749068453.745047,2025/06/05 05:20:53,1955.4874000549316,32.6m,895.0369141101837,653.775582075119,7.753477096557617,,,,
116,116,3.4527562477111817,0.227,mean: 7.490518506836892,mean: 0.017528125,1749068475.2272987,2025/06/05 05:21:15,1976.9696516990662,32.9m,905.4214556217194,659.5245118141174,7.8881494998931885,3.6241561710357666,0.1457,mean: 10.850334966874126,mean: 0.016776562499999998
